timestamp,load_old,load_raw,pressure_raw,load,pressure,,,,multiply load by 1.7 to adjust for area difference (92 instead of 120mm)
2020-02-14 15:54:49:551565,-6970.92973,1438857,642,7079.518059,601.0411693,,,,
2020-02-14 15:54:49:811111,-7064.529104,1457841,640,7172.272867,598.5228699,,,,
2020-02-14 15:54:50:070335,-6098.918243,1261994,638,6215.374906,596.0045706,,,,
2020-02-14 15:54:50:329791,-3724.889243,780488.9999,642,3862.767245,601.0411693,,,,
2020-02-14 15:54:50:588304,-872.7855652,202020,663,1036.39867,627.4833124,,,,
2020-02-14 15:54:50:847147,-195.9453391,64741.99999,673,365.6657083,640.0748092,,,,
2020-02-14 15:54:51:106024,132.6139043,-1896.99999,679,40.07112069,647.6297072,,,,
2020-02-14 15:54:51:364766,176.9878174,-10897,683,-3.902397709,652.6663059,,,,
2020-02-14 15:54:51:623415,178.7726348,-11259,682,-5.671110344,651.4071562,,,,
2020-02-14 15:54:51:882193,177.4118348,-10983,681,-4.322589115,650.1480066,,,,
2020-02-14 15:54:52:142805,177.0075391,-10900.99999,671,-3.921941456,637.5565098,,,,
2020-02-14 15:54:52:401614,123.2608696,-7.05E-06,675,49.33976109,642.5931085,,,,
2020-02-14 15:54:52:660189,175.9918696,-10695.00001,681,-2.915436545,650.1480066,,,,
2020-02-14 15:54:52:919583,171.8503043,-9854.99999,678,1.188758582,646.3705575,,,,
2020-02-14 15:54:53:178296,167.1811826,-8907.999998,677,5.815749862,645.1114079,,,,
2020-02-14 15:54:53:436990,202.6556609,-16103.00001,676,-29.33863512,643.8522582,,,,
2020-02-14 15:54:53:696924,424.9295217,-61184.99999,678,-249.6068744,646.3705575,,,,
2020-02-14 15:54:56:767564,743.5884522,-125816,686,-565.3904816,656.4437549,,,,
2020-02-14 15:54:57:026205,211.5008609,-17897.00001,681,-38.10402311,650.1480066,,,,
2020-02-14 15:54:57:284945,198.2034783,-15200.00001,680,-24.92662545,648.8888569,,,,
2020-02-14 15:54:57:543598,192.6715304,-14077.99999,679,-19.44459343,647.6297072,,,,
2020-02-14 15:54:57:802469,709.0310348,-118807,680,-531.1448827,648.8888569,,,,
2020-02-14 15:54:58:061930,2196.834104,-420565.9999,690,-2005.523207,661.4803536,,,,
2020-02-14 15:54:58:320576,3393.223826,-663220,702,-3191.117665,676.5901497,,,,
2020-02-14 15:54:58:579929,3974.7834,-781173,718,-3767.429711,696.7365445,,,,
2020-02-14 15:54:58:838587,4222.059496,-831326.0001,730,-4012.474585,711.8463406,,,,
2020-02-14 15:54:59:097658,4389.117417,-865208.9999,738,-4178.025109,721.919538,,,,
2020-02-14 15:54:59:355219,123.2608696,-7.05E-06,970,49.33976109,1014.042262,,,,
2020-02-14 15:54:59:613617,332.3211652,-42402,912,-157.8341416,941.0115813,,,,
2020-02-14 15:54:59:873561,520.3334348,-80535,957,-344.1499389,997.6733166,,,,
2020-02-14 15:55:00:133629,386.8320522,-53458.00001,982,-211.853166,1029.152058,,,,
2020-02-14 15:55:00:392395,200.6637652,-15699,913,-27.36471269,942.2707309,,,,
2020-02-14 15:55:00:650572,166.9149391,-8853.999994,958,6.079590994,998.9324663,,,,
